import time: self [us] | cumulative | imported package
import time:       500 |        500 |         pymongo.synchronous.client_bulk
import time:       446 |        446 |           pymongo.synchronous.monitor
import time:       195 |        195 |             pymongo.synchronous.network
import time:       465 |        659 |           pymongo.synchronous.pool
import time:       222 |       1326 |         pymongo.synchronous.settings
import time:       233 |        233 |           pymongo.synchronous.server
import time:       372 |        604 |         pymongo.synchronous.topology
import time:       658 |       3896 |       pymongo.synchronous.mongo_client
import time:       213 |        213 |       pymongo.uri_parser
import time:       202 |        202 |       pymongo.change_stream
import time:       862 |        862 |       pymongo.client_session
import time:       306 |        306 |       pymongo.collection
import time:       197 |        197 |       pymongo.command_cursor
import time:       952 |        952 |       pymongo.database
import time:       348 |     161954 |     pymongo
import time:       212 |        212 |     mongoengine.pymongo_support
import time:       310 |     162475 |   mongoengine.connection
import time:       103 |        103 |           blinker._utilities
